id,name,mpName,house,totalMPs,totalAllocated,totalExpenditure,utilizationPercentage,totalWorksCompleted,totalWorksRecommended,state
CHENNAI SOUTH,CHENNAI SOUTH,T Sumathy (A) Thamizhachi Thangapandian ,Lok Sabha,1,147000000.0,28530278.0,19.408352380952383,5,25,Tamil Nadu
SALEM,SALEM,SELVAGANAPATHI T M,Lok Sabha,1,147000000.0,4244214.0,2.8872204081632655,0,17,Tamil Nadu
FIROZPUR,FIROZPUR,SHER SINGH GHUBAYA,Lok Sabha,1,147000000.0,94266196.0,64.12666394557823,361,34,Punjab
FARIDKOT,FARIDKOT,SARABJEET SINGH KHALSA,Lok Sabha,1,150850348.15,93855473.0,62.21760450076893,227,389,Punjab
ANANDPUR SAHIB,ANANDPUR SAHIB,MALVINDER SINGH KANG,Lok Sabha,1,147000000.0,78725294.0,53.55462176870748,109,236,Punjab
BHATINDA,BHATINDA,Smt Harsimrat Kaur Badal,Lok Sabha,1,159775982.39,85393082.0,53.44550584052272,147,206,Punjab
HOSHIARPUR,HOSHIARPUR,DR. RAJ KUMAR CHABBEWAL,Lok Sabha,1,147000000.0,75344197.0,51.25455578231293,93,186,Punjab
AMRITSAR,AMRITSAR,Shri Gurjeet Singh Aujla,Lok Sabha,1,147000000.0,67439837.0,45.87744013605442,91,190,Punjab
Sitting Rajya Sabha,Sitting Rajya Sabha,Dr. Vikramjit Singh Sahney (2022-28),Rajya Sabha,7,1356919670.91,580223595.67,42.76034964404936,486,472,Punjab
SANGRUR,SANGRUR,GURMEET SINGH MEET HAYER,Lok Sabha,1,147000000.0,57080005.0,38.82993537414966,151,237,Punjab
GURDASPUR,GURDASPUR,SUKHJINDER SINGH RANDHAWA,Lok Sabha,1,147000000.0,56537028.0,38.46056326530613,90,237,Punjab
PATIALA,PATIALA,DR DHARAMVIRA GANDHI,Lok Sabha,1,147000000.0,52978687.0,36.0399231292517,57,275,Punjab
FATEHGARH SAHIB,FATEHGARH SAHIB,Shri Amar Singh,Lok Sabha,1,147000000.0,43529649.0,29.61200612244898,60,289,Punjab
LUDHIANA,LUDHIANA,AMRINDER SINGH RAJA WARRING,Lok Sabha,1,147000000.0,33972409.0,23.11048231292517,59,187,Punjab
JALANDHAR,JALANDHAR,CHARANJIT SINGH CHANNI,Lok Sabha,1,147000000.0,26344017.0,17.921100000000003,58,151,Punjab
SHIMLA,SHIMLA,Suresh Kumar Kashyap,Lok Sabha,1,153563957.11,90424211.0,58.88374635672346,83,446,Himachal Pradesh
Sitting Rajya Sabha,Sitting Rajya Sabha,Dr. Sikander Kumar (2022-28),Rajya Sabha,3,403863957.11,202684957.04000002,50.18644359610306,321,534,Himachal Pradesh
KANGRA,KANGRA,RAJEEV BHARDWAJ,Lok Sabha,1,179388967.11,80773156.0,45.026824838380655,204,424,Himachal Pradesh
MANDI,MANDI,Kangana Ranaut,Lok Sabha,1,147000000.0,50240820.0,34.17742857142857,68,267,Himachal Pradesh
HAMIRPUR,HAMIRPUR,Anurag Singh Thakur,Lok Sabha,1,149570117.11,18576823.0,12.42014338087189,45,162,Himachal Pradesh
SIDHI,SIDHI,DR. RAJESH MISHRA,Lok Sabha,1,262724510.35,184983789.0,70.40979494207286,172,169,Madhya Pradesh
SAGAR,SAGAR,DR. LATA WANKHEDE,Lok Sabha,1,147000000.0,99315853.0,67.56180476190477,103,155,Madhya Pradesh
RAJGARH,RAJGARH,Rodmal Nagar ,Lok Sabha,1,147000000.0,92107905.0,62.658438775510206,54,301,Madhya Pradesh
BALAGHAT,BALAGHAT,BHARTI PARDHI,Lok Sabha,1,154398389.01,92426127.0,59.86210581122954,80,85,Madhya Pradesh
REWA,REWA,Janardan Mishra,Lok Sabha,1,147000000.0,86935425.0,59.139744897959176,1,106,Madhya Pradesh
BETUL,BETUL,Durga Das Uikey ,Lok Sabha,1,151569502.91,85636977.0,56.500137135667806,288,214,Madhya Pradesh
KHANDWA,KHANDWA,Gyaneshwar Patil,Lok Sabha,1,155690684.77,86011926.0,55.24539000330327,164,222,Madhya Pradesh
DHAR,DHAR,SAVITRI THAKUR,Lok Sabha,1,147000000.0,79325366.0,53.962834013605445,179,160,Madhya Pradesh
UJJAIN,UJJAIN,Shri Anil Firojiya,Lok Sabha,1,147000000.0,76951399.0,52.34789047619047,152,96,Madhya Pradesh
