id,mpName,house,state,constituency,party,criminal_cases,education,total_assets_raw,total_assets_inr,liabilities_raw,liabilities_inr,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completionRate,unspentAmount
6a932b5bcd944524379eddcf,ANGOMCHA BIMOL AKOIJAM,Lok Sabha,Manipur,INNER MANIPUR,INC,0,Doctorate,"Rs 97,67,556 ~ 97 Lacs+",9767556.0,"Rs 34,84,121 ~ 34 Lacs+",3484121.0,147000000.0,93860392.0,63.85,21,29,42.0,53139608.0
6a932b5bcd944524379edf07,Prof SP Singh Baghel,Lok Sabha,Uttar Pradesh,AGRA,BJP,0,Graduate Professional,"Rs 5,87,23,886 ~ 5 Crore+",58723886.0,"Rs 4,24,821 ~ 4 Lacs+",424821.0,147000000.0,93200157.0,63.4,55,55,50.0,53799843.0
6a932b5bcd944524379ede7e,JITENDRA KUMAR DOHARE,Lok Sabha,Uttar Pradesh,ETAWAH,BJP,0,Post Graduate,"Rs 8,59,05,005 ~ 8 Crore+",85905005.0,Rs 0 ~,0.0,188747306.26,119571988.0,63.35,192,322,37.35,69175318.26
6a932b5ecd944524379ee28b,Shri Ramji Lal Suman (2024-30),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,93005621.0,63.27,29,35,45.31,53994379.0
6a932b5bcd944524379ede59,GAIKWAD VARSHA EKNATH,Lok Sabha,Maharashtra,MUMBAI NORTH-CENTRAL,INC,7,Post Graduate,"Rs 7,68,48,656 ~ 7 Crore+",76848656.0,"Rs 1,01,60,000 ~ 1 Crore+",10160000.0,147000000.0,92563767.0,62.97,0,57,0.0,54436233.0
6a932b5bcd944524379edf02,PRAVEEN PATEL,Lok Sabha,Uttar Pradesh,PHULPUR,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,151559884.09,95102075.0,62.75,14,10,58.33,56457809.09
6a932b5bcd944524379edf87,SK NURUL ISLAM,Lok Sabha,West Bengal,BASIRHAT,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,49000000.0,30740105.0,62.73,7,26,21.21,18259895.0
6a932b5bcd944524379edf36,Rodmal Nagar ,Lok Sabha,Madhya Pradesh,RAJGARH,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,92107905.0,62.66,54,301,15.21,54892095.0
6a932b5bcd944524379edde9,AWADHESH PRASAD,Lok Sabha,Uttar Pradesh,FAIZABAD,SP,1,Post Graduate,"Rs 5,29,67,071 ~ 5 Crore+",52967071.0,"Rs 10,00,000 ~ 10 Lacs+",1000000.0,147000000.0,92097873.0,62.65,108,106,50.47,54902127.0
6a932b5ecd944524379ee1f9,Dr. K. Laxman (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,197637007.11,123809716.0,62.65,275,48,85.14,73827291.11
6a932b5bcd944524379edf22,RAKESH RATHOR,Lok Sabha,Uttar Pradesh,SITAPUR,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,91524162.0,62.26,21,50,29.58,55475838.0
6a932b5bcd944524379edf4b,SARABJEET SINGH KHALSA,Lok Sabha,Punjab,FARIDKOT,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,150850348.15,93855473.0,62.22,227,389,36.85,56994875.15
